"Terminal columns", "Squares per row", "Squares per col", "Ops"
10, 30, 20, "3894.08"
20, 30, 20, "3577.82"
30, 30, 20, "3484.32"
40, 30, 20, "3321.16"
50, 30, 20, "3117.21"
60, 30, 20, "2888.50"
70, 30, 20, "2720.35"
80, 30, 20, "2464.27"
90, 30, 20, "2331.00"
100, 30, 20, "2127.21"
0, 40, 20, "2976.19"
10, 40, 20, "3023.89"
20, 40, 20, "2777.01"
30, 40, 20, "2748.01"
40, 40, 20, "2685.28"
50, 40, 20, "2597.40"
60, 40, 20, "2480.16"
70, 40, 20, "2349.07"
80, 40, 20, "2230.65"
90, 40, 20, "2122.24"
100, 40, 20, "2017.76"
0, 50, 20, "2434.27"
10, 50, 20, "2449.78"
20, 50, 20, "2261.42"
30, 50, 20, "2250.23"
40, 50, 20, "2201.19"
50, 50, 20, "2179.60"
60, 50, 20, "2116.85"
70, 50, 20, "2044.57"
80, 50, 20, "1971.61"
90, 50, 20, "1885.37"
100, 50, 20, "1805.38"
0, 60, 20, "2056.34"
10, 60, 20, "2065.69"
20, 60, 20, "2055.50"
30, 60, 20, "1904.04"
40, 60, 20, "1890.36"
50, 60, 20, "1864.28"
60, 60, 20, "1847.06"
70, 60, 20, "1789.87"
80, 60, 20, "1750.70"
90, 60, 20, "1696.07"
100, 60, 20, "1631.85"
0, 70, 20, "1769.29"
10, 70, 20, "1786.99"
20, 70, 20, "1779.36"
30, 70, 20, "1650.44"
40, 70, 20, "1639.08"
50, 70, 20, "1624.43"
60, 70, 20, "1604.11"
70, 70, 20, "1586.80"
80, 70, 20, "1538.46"
90, 70, 20, "1510.57"
100, 70, 20, "1477.54"
0, 80, 20, "1557.39"
10, 80, 20, "1567.64"
20, 80, 20, "1567.64"
30, 80, 20, "1560.06"
40, 80, 20, "1445.50"
50, 80, 20, "1432.25"
60, 80, 20, "1415.83"
70, 80, 20, "1411.63"
80, 80, 20, "1395.67"
90, 80, 20, "1358.33"
100, 80, 20, "1334.22"
0, 90, 20, "1392.18"
10, 90, 20, "1399.58"
20, 90, 20, "1399.58"
30, 90, 20, "1395.28"
40, 90, 20, "1286.01"
50, 90, 20, "1276.49"
60, 90, 20, "1273.24"
70, 90, 20, "1266.62"
80, 90, 20, "1251.72"
90, 90, 20, "1241.00"
100, 90, 20, "1209.63"
0, 100, 20, "1254.39"
10, 100, 20, "1268.07"
20, 100, 20, "1261.67"
30, 100, 20, "1260.08"
40, 100, 20, "1165.23"
50, 100, 20, "1162.66"
60, 100, 20, "1155.13"
70, 100, 20, "1150.22"
80, 100, 20, "1139.86"
90, 100, 20, "1132.12"
100, 100, 20, "1117.82"
0, 0, 30, "26809.65"
10, 0, 30, "12019.23"
20, 0, 30, "4768.72"
30, 0, 30, "2546.47"
40, 0, 30, "1532.80"
50, 0, 30, "1034.98"
60, 0, 30, "740.36"
70, 0, 30, "555.00"
80, 0, 30, "431.39"
90, 0, 30, "346.04"
100, 0, 30, "282.89"
0, 10, 30, "6915.63"
10, 10, 30, "6414.37"
20, 10, 30, "5339.03"
30, 10, 30, "4366.81"
40, 10, 30, "3637.69"
50, 10, 30, "3085.47"
60, 10, 30, "2621.23"
70, 10, 30, "2138.12"
80, 10, 30, "1877.93"
90, 10, 30, "1636.39"
100, 10, 30, "1430.82"
0, 20, 30, "3766.48"
10, 20, 30, "3547.36"
20, 20, 30, "3447.09"
30, 20, 30, "3209.24"
40, 20, 30, "2865.33"
50, 20, 30, "2626.05"
60, 20, 30, "2324.50"
70, 20, 30, "2068.25"
80, 20, 30, "1887.50"
90, 20, 30, "1726.52"
100, 20, 30, "1565.68"
0, 30, 30, "2593.36"
10, 30, 30, "2663.12"
20, 30, 30, "2453.99"
30, 30, 30, "2379.82"
40, 30, 30, "2268.09"
50, 30, 30, "2115.06"
60, 30, 30, "1970.44"
70, 30, 30, "1844.34"
80, 30, 30, "1673.64"
90, 30, 30, "1579.78"
100, 30, 30, "1428.78"
0, 40, 30, "1979.02"
10, 40, 30, "2026.34"
20, 40, 30, "1872.31"
30, 40, 30, "1853.91"
40, 40, 30, "1814.88"
50, 40, 30, "1738.53"
60, 40, 30, "1673.08"
70, 40, 30, "1576.54"
80, 40, 30, "1493.65"
90, 40, 30, "1425.52"
100, 40, 30, "1354.65"
0, 50, 30, "1600.51"
10, 50, 30, "1638.00"
20, 50, 30, "1519.30"
30, 50, 30, "1507.39"
40, 50, 30, "1492.09"
50, 50, 30, "1463.06"
60, 50, 30, "1414.43"
70, 50, 30, "1369.68"
80, 50, 30, "1310.79"
90, 50, 30, "1251.72"
100, 50, 30, "1203.37"
0, 60, 30, "1359.99"
10, 60, 30, "1378.55"
20, 60, 30, "1368.93"
30, 60, 30, "1265.02"
40, 60, 30, "1258.65"
50, 60, 30, "1246.57"
60, 60, 30, "1227.14"
70, 60, 30, "1186.38"
80, 60, 30, "1160.50"
90, 60, 30, "1127.14"
100, 60, 30, "1086.37"
0, 70, 30, "1178.69"
10, 70, 30, "1184.97"
20, 70, 30, "1180.64"
30, 70, 30, "1095.17"
40, 70, 30, "1088.14"
50, 70, 30, "1080.03"
60, 70, 30, "1067.35"
70, 70, 30, "1050.86"
80, 70, 30, "1025.85"
90, 70, 30, "1007.56"
100, 70, 30, "984.74"
0, 80, 30, "1034.77"
10, 80, 30, "1042.21"
20, 80, 30, "1038.10"
30, 80, 30, "1033.59"
40, 80, 30, "961.72"
50, 80, 30, "956.21"
60, 80, 30, "947.60"
70, 80, 30, "937.21"
80, 80, 30, "927.39"
90, 80, 30, "902.36"
100, 80, 30, "888.65"
0, 90, 30, "923.19"
10, 90, 30, "928.51"
20, 90, 30, "926.61"
30, 90, 30, "923.02"
40, 90, 30, "858.37"
50, 90, 30, "852.08"
60, 90, 30, "852.30"
70, 90, 30, "843.45"
80, 90, 30, "834.86"
90, 90, 30, "828.91"
100, 90, 30, "808.34"
0, 100, 30, "830.70"
10, 100, 30, "838.79"
20, 100, 30, "836.19"
30, 100, 30, "834.38"
40, 100, 30, "774.23"
50, 100, 30, "772.50"
60, 100, 30, "497.41"
70, 100, 30, "73.59"
80, 100, 30, "498.28"
90, 100, 30, "87.54"
100, 100, 30, "71.70"
0, 0, 40, "2100.84"
10, 0, 40, "893.02"
20, 0, 40, "344.41"
30, 0, 40, "179.81"
40, 0, 40, "110.60"
50, 0, 40, "73.54"
60, 0, 40, "52.39"
70, 0, 40, "63.06"
80, 0, 40, "30.33"
90, 0, 40, "23.95"
100, 0, 40, "23.92"
0, 10, 40, "498.43"
10, 10, 40, "459.60"
20, 10, 40, "383.38"
30, 10, 40, "311.95"
40, 10, 40, "260.66"
50, 10, 40, "218.61"
60, 10, 40, "181.79"
70, 10, 40, "153.46"
80, 10, 40, "134.12"
90, 10, 40, "118.21"
100, 10, 40, "101.87"
0, 20, 40, "346.64"
10, 20, 40, "2732.24"
20, 20, 40, "1889.64"
30, 20, 40, "371.94"
40, 20, 40, "206.42"
50, 20, 40, "188.00"
60, 20, 40, "165.83"
70, 20, 40, "140.28"
80, 20, 40, "131.36"
90, 20, 40, "123.31"
100, 20, 40, "112.20"
0, 30, 40, "185.79"
10, 30, 40, "190.93"
20, 30, 40, "175.85"
30, 30, 40, "171.44"
40, 30, 40, "162.33"
50, 30, 40, "152.42"
60, 30, 40, "264.67"
70, 30, 40, "684.70"
80, 30, 40, "119.73"
90, 30, 40, "113.12"
100, 30, 40, "100.52"
0, 40, 40, "141.80"
10, 40, 40, "145.99"
20, 40, 40, "135.13"
30, 40, 40, "133.29"
40, 40, 40, "130.68"
50, 40, 40, "125.25"
60, 40, 40, "120.64"
70, 40, 40, "120.27"
80, 40, 40, "831.39"
90, 40, 40, "111.03"
100, 40, 40, "97.33"
0, 50, 40, "114.81"
10, 50, 40, "118.16"
20, 50, 40, "109.37"
30, 50, 40, "108.58"
40, 50, 40, "107.37"
50, 50, 40, "105.21"
60, 50, 40, "101.90"
70, 50, 40, "172.94"
80, 50, 40, "180.85"
90, 50, 40, "90.43"
100, 50, 40, "87.18"
0, 60, 40, "96.74"
10, 60, 40, "98.90"
20, 60, 40, "98.60"
30, 60, 40, "91.55"
40, 60, 40, "90.89"
50, 60, 40, "109.39"
60, 60, 40, "254.18"
70, 60, 40, "85.77"
80, 60, 40, "83.84"
90, 60, 40, "81.19"
100, 60, 40, "78.27"
0, 70, 40, "83.69"
10, 70, 40, "85.59"
20, 70, 40, "85.44"
30, 70, 40, "300.52"
40, 70, 40, "78.67"
50, 70, 40, "78.15"
60, 70, 40, "77.17"
70, 70, 40, "76.12"
80, 70, 40, "74.05"
90, 70, 40, "72.88"
100, 70, 40, "104.19"
0, 80, 40, "116.43"
10, 80, 40, "75.19"
20, 80, 40, "74.97"
30, 80, 40, "74.63"
40, 80, 40, "69.22"
50, 80, 40, "68.84"
60, 80, 40, "82.22"
70, 80, 40, "126.88"
80, 80, 40, "66.83"
90, 80, 40, "65.18"
100, 80, 40, "64.21"
0, 90, 40, "66.58"
10, 90, 40, "67.03"
20, 90, 40, "141.90"
30, 90, 40, "73.84"
40, 90, 40, "62.05"
50, 90, 40, "61.90"
60, 90, 40, "61.42"
70, 90, 40, "60.75"
80, 90, 40, "90.62"
90, 90, 40, "76.63"
100, 90, 40, "58.11"
0, 100, 40, "59.92"
10, 100, 40, "60.40"
20, 100, 40, "60.43"
30, 100, 40, "99.21"
40, 100, 40, "66.18"
50, 100, 40, "55.80"
60, 100, 40, "55.45"
70, 100, 40, "55.21"
80, 100, 40, "54.64"
90, 100, 40, "109.26"
100, 100, 40, "53.53"
0, 0, 50, "1890.36"
10, 0, 50, "746.60"
20, 0, 50, "282.06"
30, 0, 50, "147.22"
40, 0, 50, "89.09"
50, 0, 50, "59.66"
